"","whale_easting","whale_northing","Event_ID","EvB_Wpt_Id","SwB_Wpt_ID","whale_depth_m","whale_dist_to_shore_m","Event_Date","DateTxt","Year","JulianDay","Julian_DateTxt","TimeTxt","CPA","ObType","ObOrder_CPA","ObOrder_Time","Ship","Observer","ObLocation","Approx","Count","IS_WW","WW_Speed","ship_azimuth","GPS_easting","GPS_northing","ship_speed","ship_bb_easting","ship_bb_northing","ship_bb_to_whale_azimuth","ship_bb_to_whale_dist","ship_bb_to_whale_bearing","Subarea1","Subarea2","Subarea3","ship_depth_m","ship_dist_to_shore_m","month","season","whale_direction","whale_orientation","whale_behavior","clouds","rain","wind","waves","visibility","sst_fn","sst","point_ocean_depth","ave_ocean_depth_250m_buff","chlor_fn","chlor_a","chlor_ann_fn","chlor_a_ann"
"1",419124.7731,6517131.57,"2008-05-06-N","2008-05-06-N-005","2008-05-06-N-005",-428,2459.471221,"5/6/2008",20080506,2008,127,2008127,"8:43:08","N","MultiOb",2,1,"Veendam","Nat","Port","y",1,"n",0,308.2830132,419967.2809,6516049.321,16.80260678,419958.7781,6516059.854,142.1100944,1357.990972,13.82708124,"Middle Bay","West Arm","West Arm",-395,2667.576981,5,0,"A-Away","9-Perpendicular","BL-Blowing","80","none","light","calm","excellent","20080506.nc",278.848999,-231,-247,"2008_5.img",NA,"2008.img",NA
"2",437821.7031,6490309.302,"2008-05-08-N","2008-05-08-N-006","2008-05-08-N-006",-84,2040.390516,"5/8/2008",20080508,2008,129,2008129,"6:38:54","Y","Single",1,1,"Norwegian Pearl","Nat","Starboard","y",1,"n",0,353.6897077,437942.9703,6486653.747,16.07088876,437938.7135,6486664.947,178.1610184,3646.232984,4.471310732,"Lower Bay","Lower Bay","Lower Bay",-96,1996.088065,5,0,"T-Toward","9-Perpendicular","DF-Dive-fluke-up","70","none","light","calm","excellent","20080508.nc",278.3439941,-94,-87.42857143,"2008_5.img",NA,"2008.img",NA
"3",432495.0187,6503674.623,"2008-05-08-N","2008-05-08-N-008","2008-05-08-N-008",-322,2971.563665,"5/8/2008",20080508,2008,129,2008129,"7:14:04","Y","Single",1,1,"Norwegian Pearl","Nat","Starboard","y",1,"n",0,319.8109847,432853.6013,6503604.272,18.12490146,432843.8239,6503611.198,100.3058705,354.5248521,-39.50511414,"Middle Bay","Middle Bay","Middle Bay",-319,3314.2156,5,0,"G-Against","0-Parallel","DF-Dive-fluke-up","100","none","light","1'","excellent","20080508.nc",278.4070129,-321,-289.2857143,"2008_5.img",2.043329954,"2008.img",1.785580039
"4",423059.4396,6513497.617,"2008-05-08-N","2008-05-08-N-028","2008-05-08-N-028",-400,2758.842724,"5/8/2008",20080508,2008,129,2008129,"13:08:31","Y","Single",1,1,"Norwegian Pearl","Nat","Starboard","y",1,"n",0,128.809816,421936.0768,6514940.64,15.0545887,421946.9961,6514935.708,322.2760435,1818.140645,13.46622743,"Middle Bay","West Arm","West Arm",-414,2033.415243,5,0,"W-With","4-45-degrees","DF-Dive-fluke-up","90","none","light","calm","excellent","20080508.nc",278.5750122,-238,-256,"2008_5.img",NA,"2008.img",NA
"5",437304.0514,6497848.867,"2008-05-08-N","2008-05-08-N-029","2008-05-08-N-029",-241,2079.249346,"5/8/2008",20080508,2008,129,2008129,"13:53:50","Y","Single",1,1,"Norwegian Pearl","Nat","Starboard","y",1,"n",0,149.227031,436480.5697,6498945.641,18.09060802,436489.0823,6498937.209,323.173524,1359.656176,-6.05350705,"Middle Bay","Middle Bay","Middle Bay",-256,2258.564758,5,0,"G-Against","0-Parallel","DF-Dive-fluke-up","90","none","light","calm","excellent","20080508.nc",278.3359985,-240,-236.6666667,"2008_5.img",3.405109882,"2008.img",1.916610003
"6",438976.9773,6489222.044,"2008-05-08-N","2008-05-08-N-032","2008-05-08-N-032",-89,2394.236103,"5/8/2008",20080508,2008,129,2008129,"14:12:23","Y","Single",1,1,"Norwegian Pearl","Nat","Starboard","y",1,"n",0,176.6451116,438347.0085,6489334.258,15.85772028,438350.6822,6489322.854,279.144035,634.3565128,-77.50107659,"Lower Bay","Middle Bay","Middle Bay",-95,3022.570709,5,0,"G-Against","0-Parallel","DF-Dive-fluke-up","90","none","light","calm","excellent","20080508.nc",278.3340149,-72,-76.42857143,"2008_5.img",NA,"2008.img",NA
"7",440976.1693,6479043.464,"2008-05-11-N","2008-05-11-N-002","2008-05-11-N-002",-51,2155.474378,"5/11/2008",20080511,2008,132,2008132,"7:00:24","Y","Single",1,1,"Ryndam","Nat","Starboard","y",1,"n",0,301.6270244,440824.0569,6478982.316,15.26069018,440810.1373,6478987.365,251.330696,175.2535522,129.7036715,"Lower Bay","Lower Bay","Lower Bay",-53,2297.883379,5,0,"W-With","0-Parallel","DF-Dive-fluke-up","50","none","light","calm","excellent","20080511.nc",278.8080139,-50,-50.14285714,"2008_5.img",2.249939919,"2008.img",2.249939919
"8",438078.399,6492207.644,"2008-05-11-N","2008-05-11-N-011","2008-05-11-N-011",-101,1413.029219,"5/11/2008",20080511,2008,132,2008132,"7:25:32","Y","Single",1,1,"Ryndam","Nat","Starboard","y",1,"n",0,12.97596044,438455.4932,6490418.204,17.08704409,438455.8257,6490433.007,167.9933291,1814.328201,-24.98263133,"Lower Bay","Middle Bay","Middle Bay",-50,2484.122916,5,0,"W-With","0-Parallel","BL-Blowing","50","none","light","calm","excellent","20080511.nc",278.8590088,-93,-94.71428571,"2008_5.img",NA,"2008.img",NA
"9",438519.9376,6503183.594,"2008-05-11-N","2008-05-11-N-018","2008-05-11-N-018",-51,445.8261926,"5/11/2008",20080511,2008,132,2008132,"7:48:02","N","MultiOb",3,1,"Ryndam","Nat","Starboard","y",4,"n",0,325.1059834,434479.3817,6501044.229,17.17357139,434468.6262,6501054.406,242.2756005,4576.741462,97.16961713,"Middle Bay","Middle Bay","Middle Bay",-308,3444.890226,5,0,"T-Toward","9-Perpendicular","BL-Blowing","90","none","light","calm","excellent","20080511.nc",278.8959961,-62,-72.85714286,"2008_5.img",2.320280075,"2008.img",1.386649966
"10",433341.0217,6504101.475,"2008-05-11-N","2008-05-11-N-020","2008-05-11-N-019",-308,3839.740689,"5/11/2008",20080511,2008,132,2008132,"7:53:01","N","MultiOb",2,1,"Ryndam","Nat","Starboard","n",2,"n",0,326.3634745,432962.464,6503255.199,17.41093568,432951.9344,6503265.609,204.9615114,921.9873805,58.59803688,"Middle Bay","Middle Bay","Middle Bay",-317,3391.91122,5,0,"T-Toward","9-Perpendicular","DF-Dive-fluke-up","90","none","light","calm","excellent","20080511.nc",278.9159851,-248,-253,"2008_5.img",2.043329954,"2008.img",1.785580039
"11",432720.5156,6504196.404,"2008-05-11-N","2008-05-11-N-022","2008-05-11-N-021",-319,3235.893838,"5/11/2008",20080511,2008,132,2008132,"7:54:24","Y","Single",1,1,"Ryndam","Nat","Starboard","y",2,"n",0,337.0634837,432600.2341,6503900.186,17.43742831,432591.8205,6503912.371,204.3752304,311.8287958,47.31174665,"Middle Bay","Middle Bay","Middle Bay",-319,3084.893926,5,0,"W-With","0-Parallel","DF-Dive-fluke-up","90","none","light","calm","excellent","20080511.nc",278.9190063,-321,-270.8571429,"2008_5.img",2.043329954,"2008.img",1.785580039
"12",438706.3098,6490576.095,"2008-05-11-N","2008-05-11-N-040","2008-05-11-N-040",-97,2630.055682,"5/11/2008",20080511,2008,132,2008132,"16:02:58","Y","Single",1,1,"Ryndam","Nat","Starboard","n",1,"n",0,180.4541443,438125.5891,6490354.339,17.91447473,438128.4741,6490339.816,247.76018,624.27711,-112.6939643,"Lower Bay","Middle Bay","Middle Bay",-50,2245.401823,5,0,"G-Against","0-Parallel","DF-Dive-fluke-up","90","none","light","calm","excellent","20080511.nc",278.8529968,-88,-85,"2008_5.img",NA,"2008.img",NA
"13",440023.5938,6487298.84,"2008-05-11-N","2008-05-11-N-041","2008-05-11-N-041",-70,613.3844811,"5/11/2008",20080511,2008,132,2008132,"16:06:20","Y","Single",1,1,"Ryndam","Nat","Starboard","y",2,"n",0,181.6045929,438087.1126,6488513.593,17.75120647,438089.7054,6488499.014,301.8238003,2276.036508,-59.78079254,"Lower Bay","Middle Bay","Middle Bay",-98,2882.991138,5,0,"WT-With/To","4-45-degrees","DF-Dive-fluke-up","90","none","light","calm","excellent","20080511.nc",278.8370056,-37,-43,"2008_5.img",NA,"2008.img",0.654160023
